iter	Passed	Remaining
400	20938	31277
401	20993	31228
402	21043	31174
403	21091	31115
404	21141	31059
405	21192	31005
406	21243	30952
407	21294	30897
408	21344	30843
409	21392	30784
410	21440	30725
411	21494	30676
412	21543	30620
413	21593	30564
414	21642	30507
415	21695	30457
416	21745	30401
417	21793	30344
418	21843	30289
419	21891	30231
420	21938	30172
421	21983	30110
422	22031	30053
423	22083	30000
424	22135	29948
425	22185	29893
426	22238	29841
427	22287	29786
428	22335	29729
429	22384	29672
430	22435	29618
431	22485	29563
432	22534	29508
433	22595	29467
434	22676	29453
435	22723	29395
436	22769	29335
437	22814	29273
438	22861	29215
439	22904	29150
440	22950	29091
441	22997	29033
442	23043	28974
443	23090	28914
444	23137	28856
445	23184	28799
446	23239	28750
447	23285	28691
448	23337	28638
449	23388	28585
450	23436	28529
451	23485	28473
452	23531	28414
453	23583	28362
454	23634	28310
455	23682	28253
456	23727	28193
457	23775	28136
458	23826	28082
459	23875	28027
460	23923	27971
461	23972	27915
462	24025	27865
463	24079	27816
464	24149	27785
465	24200	27731
466	24251	27679
467	24298	27621
468	24344	27562
469	24390	27504
470	24433	27442
471	24478	27383
472	24528	27329
473	24578	27275
474	24626	27218
475	24677	27165
476	24727	27112
477	24775	27056
478	24826	27002
479	24871	26944
480	24926	26895
481	24978	26843
482	25028	26790
483	25080	26738
484	25131	26686
485	25180	26630
486	25231	26578
487	25279	26523
488	25327	26466
489	25379	26415
490	25430	26362
491	25478	26307
492	25529	26254
493	25581	26202
494	25633	26151
495	25683	26098
496	25736	26046
497	25782	25989
498	25833	25937
499	25882	25882
500	25931	25827
501	25981	25774
502	26031	25721
503	26078	25664
504	26127	25609
505	26173	25553
506	26220	25496
507	26267	25440
508	26322	25391
509	26372	25338
510	26421	25283
511	26466	25225
512	26536	25191
513	26608	25159
514	26656	25103
515	26702	25046
516	26755	24996
517	26805	24942
518	26860	24894
519	26910	24840
520	26962	24788
521	27012	24735
522	27060	24680
523	27109	24625
524	27155	24569
525	27203	24514
526	27253	24460
527	27302	24406
528	27352	24353
529	27401	24299
530	27454	24248
531	27504	24195
532	27553	24141
533	27604	24089
534	27654	24036
535	27705	23983
536	27748	23925
537	27796	23869
538	27849	23818
539	27895	23762
540	27941	23706
541	27987	23650
542	28033	23593
543	28081	23538
544	28129	23484
545	28179	23431
546	28226	23376
547	28273	23320
548	28322	23266
549	28370	23212
550	28416	23155
551	28463	23100
552	28517	23051
553	28571	23001
554	28619	22947
555	28665	22891
556	28714	22837
557	28762	22782
558	28812	22730
559	28858	22674
560	28906	22620
561	28954	22565
562	29002	22511
563	29051	22458
564	29103	22407
565	29153	22354
566	29198	22297
567	29245	22243
568	29288	22185
569	29334	22129
570	29386	22078
571	29433	22023
572	29478	21967
573	29526	21913
574	29575	21860
575	29623	21806
576	29675	21755
577	29721	21699
578	29768	21645
579	29820	21593
580	29867	21539
581	29916	21486
582	29964	21432
583	30012	21378
584	30066	21329
585	30121	21280
586	30169	21226
587	30217	21172
588	30263	21117
589	30312	21064
590	30359	21010
591	30408	20957
592	30458	20904
593	30551	20882
594	30603	20831
595	30652	20778
596	30702	20725
597	30750	20671
598	30801	20619
599	30848	20565
600	30898	20513
601	30947	20460
602	30997	20408
603	31051	20358
604	31106	20309
605	31158	20258
606	31209	20206
607	31260	20154
608	31310	20102
609	31360	20050
610	31408	19996
611	31459	19944
612	31509	19892
613	31562	19841
614	31613	19790
615	31664	19738
616	31713	19685
617	31765	19634
618	31823	19587
619	31874	19535
620	31922	19482
621	31969	19428
622	32019	19375
623	32066	19322
624	32118	19270
625	32170	19220
626	32222	19168
627	32272	19117
628	32320	19063
629	32372	19012
630	32420	18958
631	32466	18904
632	32518	18853
633	32569	18801
634	32617	18748
635	32664	18694
636	32712	18641
637	32759	18587
638	32806	18534
639	32852	18479
640	32901	18426
641	32950	18374
642	32995	18319
643	33044	18266
644	33092	18213
645	33141	18160
646	33190	18108
647	33239	18055
648	33294	18006
649	33343	17954
650	33389	17900
651	33438	17847
652	33487	17794
653	33541	17745
654	33588	17691
655	33635	17638
656	33685	17586
657	33738	17535
658	33784	17482
659	33831	17428
660	33879	17375
661	33928	17323
662	33974	17269
663	34028	17219
664	34078	17167
665	34128	17115
666	34181	17065
667	34227	17011
668	34274	16957
669	34317	16902
670	34366	16850
671	34416	16798
672	34489	16758
673	34543	16708
674	34594	16656
675	34640	16602
676	34688	16550
677	34738	16498
678	34787	16445
679	34835	16393
680	34881	16339
681	34930	16287
682	34983	16236
683	35033	16185
684	35081	16132
685	35133	16081
686	35180	16028
687	35223	15973
688	35269	15919
689	35315	15866
690	35362	15813
691	35408	15760
692	35454	15706
693	35509	15657
694	35553	15602
695	35597	15548
696	35643	15494
697	35691	15442
698	35740	15390
699	35789	15338
700	35836	15285
701	35888	15234
702	35937	15182
703	35988	15131
704	36037	15079
705	36090	15029
706	36143	14978
707	36196	14928
708	36244	14876
709	36290	14822
710	36336	14769
711	36382	14716
712	36433	14665
713	36482	14613
714	36529	14560
715	36583	14510
716	36632	14458
717	36680	14406
718	36728	14354
719	36777	14302
720	36827	14250
721	36873	14197
722	36923	14146
723	36970	14093
724	37021	14042
725	37069	13990
726	37119	13939
727	37167	13886
728	37215	13834
729	37263	13782
730	37313	13730
731	37360	13678
732	37414	13628
733	37465	13577
734	37519	13527
735	37566	13474
736	37611	13421
737	37656	13368
738	37700	13315
739	37746	13262
740	37792	13209
741	37835	13155
742	37881	13102
743	37927	13050
744	37974	12998
745	38020	12945
746	38069	12893
747	38117	12841
748	38167	12790
749	38254	12751
750	38303	12699
751	38350	12647
752	38399	12595
753	38450	12544
754	38497	12492
755	38545	12440
756	38594	12388
757	38640	12336
758	38688	12284
759	38738	12233
760	38787	12181
761	38836	12130
762	38885	12078
763	38931	12025
764	38978	11973
765	39025	11921
766	39073	11869
767	39123	11818
768	39167	11765
769	39212	11712
770	39255	11659
771	39302	11607
772	39346	11554
773	39389	11501
774	39438	11449
775	39486	11398
776	39533	11346
777	39582	11294
778	39632	11243
779	39680	11192
780	39730	11140
781	39779	11089
782	39828	11038
783	39877	10986
784	39926	10935
785	39972	10883
786	40021	10831
787	40069	10780
788	40115	10727
789	40165	10676
790	40217	10626
791	40267	10575
792	40316	10523
793	40369	10473
794	40417	10422
795	40466	10370
796	40514	10319
797	40560	10267
798	40609	10215
799	40657	10164
800	40704	10112
801	40753	10061
802	40803	10010
803	40850	9958
804	40896	9906
805	40944	9855
806	40993	9803
807	41040	9752
808	41089	9701
809	41137	9649
810	41183	9597
811	41234	9546
812	41285	9496
813	41333	9444
814	41379	9392
815	41434	9343
816	41481	9291
817	41527	9239
818	41573	9187
819	41620	9136
820	41667	9084
821	41718	9033
822	41766	8982
823	41815	8931
824	41862	8879
825	41911	8828
826	41959	8777
827	42050	8735
828	42097	8683
829	42147	8632
830	42201	8582
831	42247	8530
832	42296	8479
833	42347	8428
834	42397	8377
835	42442	8325
836	42489	8274
837	42533	8222
838	42578	8170
839	42626	8119
840	42670	8067
841	42717	8015
842	42761	7963
843	42806	7912
844	42857	7861
845	42907	7810
846	42954	7759
847	43002	7707
848	43050	7656
849	43097	7605
850	43145	7554
851	43190	7502
852	43239	7451
853	43286	7400
854	43335	7349
855	43384	7298
856	43430	7246
857	43481	7196
858	43524	7144
859	43570	7092
860	43628	7043
861	43675	6992
862	43725	6941
863	43773	6890
864	43824	6839
865	43874	6788
866	43923	6738
867	43972	6687
868	44027	6637
869	44076	6586
870	44125	6535
871	44170	6483
872	44215	6432
873	44264	6381
874	44311	6330
875	44360	6279
876	44408	6228
877	44453	6176
878	44501	6125
879	44551	6075
880	44602	6024
881	44649	5973
882	44697	5922
883	44746	5871
884	44796	5820
885	44843	5769
886	44893	5719
887	44947	5669
888	44996	5618
889	45044	5567
890	45091	5516
891	45141	5465
892	45188	5414
893	45240	5364
894	45293	5313
895	45340	5262
896	45389	5211
897	45437	5161
898	45496	5111
899	45542	5060
900	45590	5009
901	45639	4958
902	45686	4907
903	45736	4856
904	45811	4808
905	45856	4757
906	45903	4706
907	45952	4655
908	46003	4605
909	46050	4554
910	46097	4503
911	46146	4452
912	46193	4401
913	46244	4351
914	46294	4300
915	46343	4249
916	46396	4199
917	46439	4148
918	46485	4097
919	46531	4046
920	46576	3995
921	46623	3944
922	46669	3893
923	46716	3842
924	46764	3791
925	46810	3740
926	46856	3689
927	46907	3639
928	46954	3588
929	47002	3537
930	47052	3487
931	47103	3436
932	47187	3388
933	47234	3337
934	47282	3287
935	47330	3236
936	47379	3185
937	47424	3134
938	47469	3083
939	47517	3033
940	47564	2982
941	47611	2931
942	47655	2880
943	47702	2829
944	47749	2779
945	47794	2728
946	47841	2677
947	47890	2626
948	47940	2576
949	47993	2525
950	48045	2475
951	48093	2424
952	48142	2374
953	48194	2323
954	48243	2273
955	48291	2222
956	48342	2172
957	48393	2121
958	48442	2071
959	48494	2020
960	48543	1970
961	48590	1919
962	48637	1868
963	48685	1818
964	48732	1767
965	48779	1716
966	48825	1666
967	48873	1615
968	48922	1565
969	48973	1514
970	49023	1464
971	49072	1413
972	49117	1362
973	49163	1312
974	49208	1261
975	49255	1211
976	49301	1160
977	49345	1110
978	49388	1059
979	49433	1008
980	49480	958
981	49526	907
982	49575	857
983	49624	806
984	49672	756
985	49720	705
986	49772	655
987	49821	605
988	49869	554
989	49920	504
990	49970	453
991	50017	403
992	50064	352
993	50112	302
994	50162	252
995	50212	201
996	50260	151
997	50310	100
998	50364	50
999	50417	0
